model,sensitive_attr,miti_method,group,selection_rate,true_positive_rate,false_positive_rate,count,positive_rate
RandomForest,age_band,ExponentiatedGradient,55__,0.6154,0.625,0.6,39.0,0.6154
RandomForest,age_band,ThresholdOptimizer,35-55,0.4904,0.6489,0.3016,1866.0,0.5434
RandomForest,age_band,ThresholdOptimizer,Other,0.5557,0.7822,0.3763,4614.0,0.4419
RandomForest,age_band,ThresholdOptimizer,55__,0.3077,0.25,0.4,39.0,0.6154
RandomForest,age_band,Suppression,35-55,0.5536,0.7485,0.3216,1866.0,0.5434
RandomForest,age_band,Suppression,Other,0.4343,0.6464,0.2664,4614.0,0.4419
RandomForest,age_band,Suppression,55__,0.8462,0.875,0.8,39.0,0.6154
XGB,age_band,Baseline,35-55,0.6013,0.8136,0.3486,1866.0,0.5434
XGB,age_band,Baseline,Other,0.4762,0.7052,0.2948,4614.0,0.4419
XGB,age_band,Baseline,55__,0.7436,0.7917,0.6667,39.0,0.6154
XGB,age_band,Reweighing,35-55,0.5949,0.8008,0.3498,1866.0,0.5434
XGB,age_band,Reweighing,Other,0.4673,0.6959,0.2862,4614.0,0.4419
XGB,age_band,Reweighing,55__,0.7179,0.7083,0.7333,39.0,0.6154
XGB,age_band,ExponentiatedGradient,35-55,0.5364,0.7377,0.2969,1866.0,0.5434
XGB,age_band,ExponentiatedGradient,Other,0.5089,0.7415,0.3247,4614.0,0.4419
XGB,age_band,ExponentiatedGradient,55__,0.4615,0.5,0.4,39.0,0.6154
XGB,age_band,ThresholdOptimizer,35-55,0.5096,0.7219,0.257,1866.0,0.5434
XGB,age_band,ThresholdOptimizer,Other,0.5028,0.7312,0.3219,4614.0,0.4419
XGB,age_band,ThresholdOptimizer,55__,0.4615,0.5417,0.3333,39.0,0.6154
XGB,age_band,Suppression,35-55,0.5986,0.8156,0.3404,1866.0,0.5434
XGB,age_band,Suppression,Other,0.4759,0.7048,0.2948,4614.0,0.4419
XGB,age_band,Suppression,55__,0.7436,0.7917,0.6667,39.0,0.6154
